motion_id,name,description,type,file
c9c8d041-b96c-11e4-a802-0aaa78deedf9,Roll Kicking,Roll Kick Landing On Hands And Knees,Motion,download/c9c8d041-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8cded-b96c-11e4-a802-0aaa78deedf9,Kneeling Inspecting,Kneeling And Inspecting Element With Hands,Motion,download/c9c8cded-b96c-11e4-a802-0aaa78deedf9.fbx
c9c8bc4d-b96c-11e4-a802-0aaa78deedf9,Vault Over Box,Vault Over Box And Hide,Motion,download/c9c8bc4d-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb5fda-b96c-11e4-a802-0aaa78deedf9,Stall Soccerball,Juggling Left Knee Stall Of A Soccer Ball,Motion,download/c9cb5fda-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb0b78-b96c-11e4-a802-0aaa78deedf9,Left Pivot,High Left Boxing Pivot,Motion,download/c9cb0b78-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb653e-b96c-11e4-a802-0aaa78deedf9,Sitting Clap,Sitting Ethusiastic Clap,Motion,download/c9cb653e-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc560f-b96c-11e4-a802-0aaa78deedf9,Sword And Shield Block,Sword And Shield Block To Idle,Motion,download/c9cc560f-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc7780-b96c-11e4-a802-0aaa78deedf9,Great Sword Turn,Great Sword 90 Degree Left Turn,Motion,download/c9cc7780-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc21c2-b96c-11e4-a802-0aaa78deedf9,Breakdance Freezes,Breakdance Freeze Combo,Motion,download/c9cc21c2-b96c-11e4-a802-0aaa78deedf9.fbx
c9cbe86b-b96c-11e4-a802-0aaa78deedf9,Northern Soul Spin Combo,Northern Soul Dance Spin Dip And Splits,Motion,download/c9cbe86b-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9bc34-b96c-11e4-a802-0aaa78deedf9,Freehang Drop,Freehang Drop To Standing,Motion,download/c9c9bc34-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9b5d5-b96c-11e4-a802-0aaa78deedf9,Braced Hang Hop Up,Braced Hang Hop Up To Another Braced Hang,Motion,download/c9c9b5d5-b96c-11e4-a802-0aaa78deedf9.fbx
c9caf5b4-b96c-11e4-a802-0aaa78deedf9,Combo Punch,Eight Punch Combo,Motion,download/c9caf5b4-b96c-11e4-a802-0aaa78deedf9.fbx
c9ca8bbd-b96c-11e4-a802-0aaa78deedf9,Jumping,Male Jumping Over An Obstacle With 2 Hands Planted,Motion,download/c9ca8bbd-b96c-11e4-a802-0aaa78deedf9.fbx
c9ca77de-b96c-11e4-a802-0aaa78deedf9,Golf Post Shot,Post-Shot Course Correction Var 1,Motion,download/c9ca77de-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9a724-b96c-11e4-a802-0aaa78deedf9,Braced Hang Shimmy,Left Braced Hang Shimmy,Motion,download/c9c9a724-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9dff0-b96c-11e4-a802-0aaa78deedf9,Looking Around,Looking Around With Duel Wielded Pistols,Motion,download/c9c9dff0-b96c-11e4-a802-0aaa78deedf9.fbx
c9cafd3d-b96c-11e4-a802-0aaa78deedf9,Stomach Hit,Receiving A Hit In The Stomach,Motion,download/c9cafd3d-b96c-11e4-a802-0aaa78deedf9.fbx
c9ca9df3-b96c-11e4-a802-0aaa78deedf9,Corkscrew Kip Up,Male Sliding Corkscrew To Kip Up,Motion,download/c9ca9df3-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd9de5-b96c-11e4-a802-0aaa78deedf9,Pull Plant,Standing Pulling Up A Plant,Motion,download/c9cd9de5-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd85fa-b96c-11e4-a802-0aaa78deedf9,Hit On Legs,Hit On Back Of Legs With An Object While Running,Motion,download/c9cd85fa-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc85e9-b96c-11e4-a802-0aaa78deedf9,Great Sword Crouching,Great Sword Crouch To Stand,Motion,download/c9cc85e9-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd3e84-b96c-11e4-a802-0aaa78deedf9,Baseball Walk In,Baseball Batter Walking Into Batters Box,Motion,download/c9cd3e84-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd1193-b96c-11e4-a802-0aaa78deedf9,Dwarf Idle,Female Dwarf Standing Idle,Motion,download/c9cd1193-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd28fc-b96c-11e4-a802-0aaa78deedf9,Mma Kick,Mma Low Kick,Motion,download/c9cd28fc-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd5110-b96c-11e4-a802-0aaa78deedf9,Rifle Walk To Stop,Rifle Walking To Standing,Motion,download/c9cd5110-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd23c3-b96c-11e4-a802-0aaa78deedf9,Dwarf Walk,Male Dwarf Walk Forward,Motion,download/c9cd23c3-b96c-11e4-a802-0aaa78deedf9.fbx
c9ccde24-b96c-11e4-a802-0aaa78deedf9,Run Forward,Running Forward In A Sad Disposition,Motion,download/c9ccde24-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd1a9a-b96c-11e4-a802-0aaa78deedf9,Walk Backward Arc,Female Ninja Walk Backward Arc Left,Motion,download/c9cd1a9a-b96c-11e4-a802-0aaa78deedf9.fbx
c9ccd8eb-b96c-11e4-a802-0aaa78deedf9,Standing Up,Standing Up From A Soccer Fall,Motion,download/c9ccd8eb-b96c-11e4-a802-0aaa78deedf9.fbx
c9cce1ef-b96c-11e4-a802-0aaa78deedf9,Right Turn,Turning Right In A Sad Disposition,Motion,download/c9cce1ef-b96c-11e4-a802-0aaa78deedf9.fbx
